invoice_id,branch,city,customer_type,gender,product_line,unit_price,quantity,tax_pct,total,date,time,payment,cogs,gross_margin_pct,gross_income,rating
131-15-8856,South,Newtown,Member,Female,Electronics,77.52,8,49.6128,669.7728,3/30/2023 0:00,19:26:00,Cash,580.16,4.761904716,49.6128,4
131-70-8179,West,Yorktown,Member,Female,Health and Wellness,97.09,3,23.3016,314.5716,2/17/2023 0:00,16:27:00,Mobile app,276.27,4.761904716,23.3016,4.2
132-23-6451,West,Yorktown,Member,Male,Health and Wellness,25.97,5,10.388,140.238,1/4/2023 0:00,13:21:00,Mobile app,104.85,4.761904716,10.388,7.8
132-32-9879,East,McCordsville,Member,Female,Sports and Outdoors,98.96,4,31.6672,427.5072,3/9/2023 0:00,18:00:00,Mobile app,375.84,4.761904716,31.6672,9.5
133-14-7229,South,Newtown,Not member,Male,Health and Wellness,67.87,2,10.8592,146.5992,1/1/2023 0:00,11:43:00,Mobile app,125.74,4.761904716,10.8592,5
133-77-3154,East,McCordsville,Member,Male,Clothing and Apparel,65.18,4,20.8576,281.5776,2/16/2023 0:00,18:04:00,Cash,240.72,4.761904716,20.8576,9.4
134-54-4720,East,McCordsville,Not member,Female,Sports and Outdoors,47.42,8,30.3488,409.7088,1/30/2023 0:00,13:58:00,Credit Card,339.36,4.761904716,30.3488,5.7
134-75-2619,West,Yorktown,Member,Male,Sports and Outdoors,24.32,7,13.6192,183.8592,3/25/2023 0:00,18:51:00,Mobile app,135.24,4.761904716,13.6192,6.9
135-13-8269,East,McCordsville,Member,Female,Electronics,83.88,2,13.4208,181.1808,1/26/2023 0:00,16:04:00,Mobile app,157.76,4.761904716,13.4208,9.1
135-84-8019,West,Yorktown,Not member,Female,Clothing and Apparel,82.93,9,59.7096,806.0796,2/27/2023 0:00,16:10:00,Credit Card,701.37,4.761904716,59.7096,7.6
136-08-6195,West,Yorktown,Not member,Female,Groceries,74.96,8,47.9744,647.6544,2/15/2023 0:00,17:01:00,Cash,559.68,4.761904716,47.9744,6.4
137-63-5492,South,Newtown,Not member,Male,Sports and Outdoors,63.76,10,51.008,688.608,1/29/2023 0:00,14:26:00,Credit Card,587.6,4.761904716,51.008,9
137-74-8729,South,Newtown,Not member,Female,Clothing and Apparel,17.19,8,11.0016,148.5216,3/13/2023 0:00,12:47:00,Credit Card,97.52,4.761904716,11.0016,6.8
138-17-5109,West,Yorktown,Member,Female,Groceries,94.21,9,67.8312,915.7212,1/15/2023 0:00,15:42:00,Credit Card,802.89,4.761904716,67.8312,6.5
139-20-0155,East,McCordsville,Member,Male,Sports and Outdoors,45.3,10,36.24,489.24,1/24/2023 0:00,17:37:00,Cash,403,4.761904716,36.24,7
139-32-4183,West,Yorktown,Member,Female,Automotive,102.48,9,73.7856,996.1056,3/14/2023 0:00,14:19:00,Credit Card,877.32,4.761904716,73.7856,7.4
139-52-2867,South,Newtown,Not member,Female,Clothing and Apparel,27.51,7,15.4056,207.9756,2/13/2023 0:00,10:50:00,Cash,157.57,4.761904716,15.4056,4.8
142-63-6033,East,McCordsville,Not member,Male,Groceries,97.36,5,38.944,525.744,3/20/2023 0:00,19:17:00,Credit Card,461.8,4.761904716,38.944,4.9
142-72-4741,South,Newtown,Member,Male,Clothing and Apparel,98.2,2,15.712,212.112,2/28/2023 0:00,18:37:00,Cash,186.4,4.761904716,15.712,6
144-51-6085,West,Yorktown,Member,Male,Groceries,75.74,4,24.2368,327.1968,1/5/2023 0:00,16:05:00,Cash,282.96,4.761904716,24.2368,4.4
145-94-9061,East,McCordsville,Not member,Female,Electronics,93.36,5,37.344,504.144,1/25/2023 0:00,19:48:00,Mobile app,441.8,4.761904716,37.344,9.6
146-09-5432,West,Yorktown,Member,Male,Electronics,40.04,9,28.8288,389.1888,2/9/2023 0:00,19:17:00,Credit Card,315.36,4.761904716,28.8288,4.6
148-41-7930,South,Newtown,Not member,Male,Health and Wellness,104.96,7,58.7776,793.4976,1/23/2023 0:00,10:33:00,Credit Card,699.72,4.761904716,58.7776,6.1
148-82-2527,South,Newtown,Member,Female,Groceries,17.12,10,13.696,184.896,3/5/2023 0:00,13:44:00,Cash,121.2,4.761904716,13.696,8.4
149-14-0304,South,Newtown,Member,Female,Health and Wellness,33.5,8,21.44,289.44,2/6/2023 0:00,14:24:00,Mobile app,228,4.761904716,21.44,6.6
149-15-7606,East,McCordsville,Member,Male,Automotive,42.32,9,30.4704,411.3504,3/6/2023 0:00,15:31:00,Credit Card,335.88,4.761904716,30.4704,5.1
149-61-1929,West,Yorktown,Not member,Male,Automotive,69.19,10,55.352,747.252,1/19/2023 0:00,14:08:00,Credit Card,641.9,4.761904716,55.352,6.7
149-71-6266,East,McCordsville,Member,Male,Automotive,83.07,9,59.8104,807.4404,1/28/2023 0:00,12:43:00,Credit Card,702.63,4.761904716,59.8104,4.5
150-89-8043,West,Yorktown,Not member,Male,Automotive,49.65,3,11.916,160.866,2/14/2023 0:00,15:04:00,Mobile app,133.95,4.761904716,11.916,6.2
151-16-1484,West,Yorktown,Member,Male,Sports and Outdoors,37.25,4,11.92,160.92,2/13/2023 0:00,12:38:00,Credit Card,129,4.761904716,11.92,6.5
151-27-8496,South,Newtown,Not member,Female,Sports and Outdoors,61.13,4,19.5616,264.0816,1/19/2023 0:00,11:43:00,Credit Card,224.52,4.761904716,19.5616,8.6
151-33-7434,East,McCordsville,Not member,Female,Electronics,72.77,1,5.8216,78.5916,2/4/2023 0:00,20:43:00,Cash,67.77,4.761904716,5.8216,6.5
152-03-4217,East,McCordsville,Not member,Female,Groceries,16.28,9,11.7216,158.2416,3/17/2023 0:00,11:55:00,Cash,101.52,4.761904716,11.7216,4.3
152-08-9985,East,McCordsville,Member,Male,Health and Wellness,69.36,9,49.9392,674.1792,3/12/2023 0:00,12:09:00,Cash,579.24,4.761904716,49.9392,8.6
152-68-2907,West,Yorktown,Not member,Male,Electronics,57.2,3,13.728,185.328,2/15/2023 0:00,13:30:00,Cash,156.6,4.761904716,13.728,9.5
153-58-4872,South,Newtown,Member,Female,Electronics,79.89,4,25.5648,345.1248,3/1/2023 0:00,15:32:00,Credit Card,299.56,4.761904716,25.5648,4.2
154-74-7179,East,McCordsville,Not member,Male,Automotive,59.45,1,4.756,64.206,2/26/2023 0:00,19:24:00,Credit Card,54.45,4.761904716,4.756,7.9
154-87-7367,South,Newtown,Not member,Male,Groceries,70.26,8,44.9664,607.0464,3/15/2023 0:00,14:04:00,Credit Card,522.08,4.761904716,44.9664,6.3
155-45-3814,South,Newtown,Member,Female,Sports and Outdoors,93.55,8,59.872,808.272,3/19/2023 0:00,15:29:00,Credit Card,708.4,4.761904716,59.872,4.7
156-20-0370,East,McCordsville,Not member,Female,Sports and Outdoors,30.45,1,2.436,32.886,3/10/2023 0:00,18:10:00,Cash,25.45,4.761904716,2.436,5.1
156-95-3964,West,Yorktown,Not member,Female,Electronics,60.39,4,19.3248,260.8848,3/25/2023 0:00,15:19:00,Credit Card,221.56,4.761904716,19.3248,8
157-13-5295,West,Yorktown,Member,Male,Health and Wellness,56.94,10,45.552,614.952,3/9/2023 0:00,18:24:00,Credit Card,519.4,4.761904716,45.552,6.5
160-22-2687,West,Yorktown,Member,Female,Health and Wellness,100.95,5,40.38,545.13,1/23/2023 0:00,14:21:00,Credit Card,479.75,4.761904716,40.38,8.8
162-48-8011,West,Yorktown,Member,Female,Electronics,49.59,5,19.836,267.786,2/10/2023 0:00,15:10:00,Mobile app,222.95,4.761904716,19.836,8.5
162-65-8559,South,Newtown,Member,Male,Electronics,73.98,1,5.9184,79.8984,1/21/2023 0:00,20:13:00,Mobile app,68.98,4.761904716,5.9184,4.8
163-56-7055,South,Newtown,Member,Male,Clothing and Apparel,53.71,1,4.2968,58.0068,3/26/2023 0:00,19:20:00,Mobile app,48.71,4.761904716,4.2968,4.1
166-19-2553,West,Yorktown,Member,Male,Automotive,94.06,6,45.1488,609.5088,1/18/2023 0:00,17:26:00,Mobile app,534.36,4.761904716,45.1488,9.9
169-52-4504,West,Yorktown,Not member,Female,Sports and Outdoors,20.69,3,4.9656,67.0356,3/14/2023 0:00,14:13:00,Cash,47.07,4.761904716,4.9656,5.8
172-42-8274,East,McCordsville,Not member,Female,Sports and Outdoors,43.27,2,6.9232,93.4632,3/2/2023 0:00,18:18:00,Cash,76.54,4.761904716,6.9232,5.8
173-50-1108,East,McCordsville,Member,Female,Automotive,25.18,4,8.0576,108.7776,2/13/2023 0:00,12:14:00,Cash,80.72,4.761904716,8.0576,5
173-57-2300,South,Newtown,Member,Male,Automotive,77.88,2,12.4608,168.2208,3/13/2023 0:00,12:51:00,Mobile app,145.76,4.761904716,12.4608,6.1
173-82-9529,East,McCordsville,Not member,Female,Clothing and Apparel,42.95,10,34.36,463.86,1/26/2023 0:00,14:51:00,Mobile app,379.5,4.761904716,34.36,9.7
174-36-3675,South,Newtown,Member,Male,Electronics,104.37,2,16.6992,225.4392,2/14/2023 0:00,17:29:00,Mobile app,198.74,4.761904716,16.6992,5.2
174-64-0215,East,McCordsville,Not member,Male,Automotive,74.74,10,59.792,807.192,3/5/2023 0:00,17:49:00,Credit Card,697.4,4.761904716,59.792,8.9
174-75-0888,East,McCordsville,Not member,Male,Sports and Outdoors,26.58,9,19.1376,258.3576,3/14/2023 0:00,12:32:00,Mobile app,194.22,4.761904716,19.1376,7.3
175-54-2529,West,Yorktown,Member,Male,Electronics,27.17,8,17.3888,234.7488,3/3/2023 0:00,17:01:00,Cash,177.36,4.761904716,17.3888,9.6
176-64-7711,East,McCordsville,Not member,Male,Electronics,37.32,3,8.9568,120.9168,3/27/2023 0:00,19:11:00,Cash,96.96,4.761904716,8.9568,4.3
176-78-1170,South,Newtown,Member,Male,Health and Wellness,38.81,3,9.3144,125.7444,1/26/2023 0:00,15:11:00,Credit Card,101.43,4.761904716,9.3144,7.3
181-82-6255,East,McCordsville,Not member,Female,Groceries,21.37,6,10.2576,138.4776,2/8/2023 0:00,10:58:00,Mobile app,98.22,4.761904716,10.2576,7
181-94-6432,South,Newtown,Member,Male,Clothing and Apparel,74.33,2,11.8928,160.5528,2/5/2023 0:00,19:05:00,Credit Card,138.66,4.761904716,11.8928,9.7
182-52-7000,West,Yorktown,Member,Female,Automotive,32.04,4,10.2528,138.4128,1/1/2023 0:00,20:26:00,Credit Card,108.16,4.761904716,10.2528,6.9
182-69-8360,East,McCordsville,Not member,Female,Sports and Outdoors,28.65,4,9.168,123.768,1/30/2023 0:00,13:32:00,Cash,94.6,4.761904716,9.168,4
182-88-2763,East,McCordsville,Member,Male,Electronics,84.91,3,20.3784,275.1084,3/20/2023 0:00,19:28:00,Cash,239.73,4.761904716,20.3784,5
183-21-3799,South,Newtown,Not member,Female,Sports and Outdoors,82.63,9,59.4936,803.1636,2/19/2023 0:00,15:14:00,Credit Card,698.67,4.761904716,59.4936,7.2
183-56-6882,South,Newtown,Member,Female,Electronics,104.42,4,33.4144,451.0944,2/6/2023 0:00,10:42:00,Credit Card,397.68,4.761904716,33.4144,7.5
186-09-3669,South,Newtown,Member,Female,Health and Wellness,86.51,1,6.9208,93.4308,1/22/2023 0:00,10:57:00,Credit Card,81.51,4.761904716,6.9208,9.2
186-43-8965,West,Yorktown,Member,Female,Groceries,52.68,2,8.4288,113.7888,2/24/2023 0:00,10:10:00,Cash,95.36,4.761904716,8.4288,4.1
186-71-5196,West,Yorktown,Member,Female,Electronics,84.54,2,13.5264,182.6064,3/27/2023 0:00,16:30:00,Credit Card,159.08,4.761904716,13.5264,6.2
186-79-9562,East,McCordsville,Not member,Male,Health and Wellness,76.77,7,42.9912,580.3812,3/29/2023 0:00,14:06:00,Mobile app,502.39,4.761904716,42.9912,8.9
187-83-5490,West,Yorktown,Member,Male,Sports and Outdoors,25.77,4,8.2464,111.3264,1/31/2023 0:00,13:47:00,Mobile app,83.08,4.761904716,8.2464,4.7
188-55-0967,East,McCordsville,Member,Male,Health and Wellness,71.47,10,57.176,771.876,1/15/2023 0:00,15:01:00,Credit Card,664.7,4.761904716,57.176,5
189-08-9157,South,Newtown,Not member,Female,Clothing and Apparel,36.73,9,26.4456,357.0156,1/8/2023 0:00,16:17:00,Cash,285.57,4.761904716,26.4456,5.9
189-17-4241,West,Yorktown,Not member,Female,Clothing and Apparel,92.67,2,14.8272,200.1672,3/10/2023 0:00,12:17:00,Cash,175.34,4.761904716,14.8272,7.7
189-40-5216,South,Newtown,Not member,Male,Sports and Outdoors,101.37,7,56.7672,766.3572,1/9/2023 0:00,11:40:00,Credit Card,674.59,4.761904716,56.7672,6
189-52-0236,West,Yorktown,Not member,Male,Sports and Outdoors,104.55,7,58.548,790.398,3/14/2023 0:00,12:07:00,Credit Card,696.85,4.761904716,58.548,7.6
189-55-2313,South,Newtown,Not member,Female,Clothing and Apparel,67.18,10,53.744,725.544,1/31/2023 0:00,10:33:00,Credit Card,621.8,4.761904716,53.744,6
189-98-2939,South,Newtown,Not member,Male,Clothing and Apparel,83.55,9,60.156,812.106,3/1/2023 0:00,13:22:00,Credit Card,706.95,4.761904716,60.156,7.2
190-14-3147,East,McCordsville,Not member,Female,Health and Wellness,22.97,4,7.3504,99.2304,2/23/2023 0:00,20:43:00,Credit Card,71.88,4.761904716,7.3504,6.4
190-59-3964,East,McCordsville,Member,Male,Electronics,52.16,5,20.864,281.664,2/3/2023 0:00,14:35:00,Cash,235.8,4.761904716,20.864,6
191-10-6171,East,McCordsville,Not member,Female,Clothing and Apparel,44.62,7,24.9872,337.3272,1/25/2023 0:00,13:18:00,Mobile app,277.34,4.761904716,24.9872,7.5
191-29-0321,East,McCordsville,Member,Female,Clothing and Apparel,24.77,10,19.816,267.516,2/27/2023 0:00,18:57:00,Cash,197.7,4.761904716,19.816,5
192-98-7397,South,Newtown,Not member,Male,Clothing and Apparel,17.78,1,1.4224,19.2024,1/8/2023 0:00,14:11:00,Credit Card,12.78,4.761904716,1.4224,9.5
195-06-0432,West,Yorktown,Member,Male,Groceries,86.01,3,20.6424,278.6724,1/13/2023 0:00,12:55:00,Cash,243.03,4.761904716,20.6424,9.3
196-01-2849,South,Newtown,Member,Female,Clothing and Apparel,78.38,7,43.8928,592.5528,2/10/2023 0:00,13:56:00,Mobile app,513.66,4.761904716,43.8928,9.5
197-77-7132,East,McCordsville,Member,Male,Sports and Outdoors,96.56,8,61.7984,834.2784,1/12/2023 0:00,18:22:00,Credit Card,732.48,4.761904716,61.7984,6
198-66-9832,East,McCordsville,Member,Female,Clothing and Apparel,77.04,2,12.3264,166.4064,2/4/2023 0:00,19:38:00,Mobile app,144.08,4.761904716,12.3264,9.5
198-84-7132,East,McCordsville,Member,Male,Clothing and Apparel,45.61,9,32.8392,443.3292,1/2/2023 0:00,13:40:00,Mobile app,365.49,4.761904716,32.8392,7
199-75-8169,West,Yorktown,Member,Male,Automotive,20.81,10,16.648,224.748,3/6/2023 0:00,12:27:00,Cash,158.1,4.761904716,16.648,8.6
200-16-5952,South,Newtown,Member,Male,Electronics,70.65,2,11.304,152.604,1/17/2023 0:00,16:46:00,Mobile app,131.3,4.761904716,11.304,6
200-40-6154,East,McCordsville,Member,Male,Groceries,70.91,6,34.0368,459.4968,2/9/2023 0:00,11:45:00,Mobile app,395.46,4.761904716,34.0368,5.7
201-63-8275,South,Newtown,Member,Female,Automotive,72.99,7,40.8744,551.8044,2/17/2023 0:00,16:50:00,Credit Card,475.93,4.761904716,40.8744,5.7
201-86-2184,East,McCordsville,Member,Female,Sports and Outdoors,31.26,7,17.5056,236.3256,2/2/2023 0:00,19:40:00,Mobile app,183.82,4.761904716,17.5056,9.9
207-73-1363,East,McCordsville,Not member,Male,Health and Wellness,74.51,2,11.9216,160.9416,3/1/2023 0:00,12:15:00,Credit Card,139.02,4.761904716,11.9216,8.1
209-61-0206,West,Yorktown,Not member,Female,Groceries,47.91,5,19.164,258.714,1/5/2023 0:00,17:29:00,Credit Card,214.55,4.761904716,19.164,6.1
210-30-7976,East,McCordsville,Member,Female,Clothing and Apparel,27.32,4,8.7424,118.0224,3/14/2023 0:00,11:16:00,Credit Card,89.28,4.761904716,8.7424,4.1
210-57-1719,East,McCordsville,Not member,Female,Health and Wellness,63.24,9,45.5328,614.6928,2/5/2023 0:00,12:34:00,Mobile app,524.16,4.761904716,45.5328,9.7
210-67-5886,South,Newtown,Member,Female,Health and Wellness,103.21,3,24.7704,334.4004,2/5/2023 0:00,10:41:00,Cash,294.63,4.761904716,24.7704,7.8
210-74-9613,South,Newtown,Not member,Male,Clothing and Apparel,102.26,4,32.7232,441.7632,3/16/2023 0:00,15:33:00,Credit Card,389.04,4.761904716,32.7232,6.8
211-05-0490,South,Newtown,Member,Female,Sports and Outdoors,56.92,5,22.768,307.368,3/3/2023 0:00,13:42:00,Mobile app,259.6,4.761904716,22.768,7.5
211-30-9270,South,Newtown,Not member,Male,Health and Wellness,22.41,5,8.964,121.014,1/28/2023 0:00,15:16:00,Cash,87.05,4.761904716,8.964,4.9
212-62-1842,West,Yorktown,Not member,Male,Electronics,63.26,6,30.3648,409.9248,3/28/2023 0:00,16:44:00,Mobile app,349.56,4.761904716,30.3648,9.9
213-32-1216,West,Yorktown,Not member,Female,Sports and Outdoors,71.06,6,34.1088,460.4688,1/23/2023 0:00,10:28:00,Mobile app,396.36,4.761904716,34.1088,7.3
213-72-6612,West,Yorktown,Not member,Male,Electronics,48.25,2,7.72,104.22,3/20/2023 0:00,15:56:00,Mobile app,86.5,4.761904716,7.72,6.2
214-17-6927,South,Newtown,Not member,Female,Electronics,21.48,6,10.3104,139.1904,2/7/2023 0:00,18:23:00,Credit Card,98.88,4.761904716,10.3104,9.9
214-30-2776,East,McCordsville,Member,Female,Sports and Outdoors,39.49,5,15.796,213.246,3/11/2023 0:00,19:44:00,Cash,172.45,4.761904716,15.796,9
217-58-1179,West,Yorktown,Member,Male,Groceries,67.65,4,21.648,292.248,1/5/2023 0:00,11:25:00,Mobile app,250.6,4.761904716,21.648,4.2
218-59-9410,West,Yorktown,Member,Female,Groceries,77.42,3,18.5808,250.8408,3/29/2023 0:00,16:54:00,Credit Card,217.26,4.761904716,18.5808,8.2
219-22-9386,East,McCordsville,Member,Male,Automotive,104.96,9,75.5712,1020.2112,3/9/2023 0:00,17:26:00,Credit Card,899.64,4.761904716,75.5712,4.2
219-61-4139,South,Newtown,Not member,Male,Sports and Outdoors,88.08,1,7.0464,95.1264,1/23/2023 0:00,17:16:00,Credit Card,83.08,4.761904716,7.0464,6.4
220-28-1851,West,Yorktown,Not member,Male,Groceries,39.73,2,6.3568,85.8168,3/1/2023 0:00,18:14:00,Credit Card,69.46,4.761904716,6.3568,9.7
220-68-6701,West,Yorktown,Not member,Female,Groceries,82.47,4,26.3904,356.2704,3/17/2023 0:00,16:36:00,Mobile app,309.88,4.761904716,26.3904,4.2
221-25-5073,West,Yorktown,Not member,Female,Electronics,79.66,4,25.4912,344.1312,3/4/2023 0:00,10:39:00,Mobile app,298.64,4.761904716,25.4912,8.5
222-42-0244,East,McCordsville,Member,Female,Health and Wellness,77.11,9,55.5192,749.5092,1/28/2023 0:00,13:53:00,Credit Card,648.99,4.761904716,55.5192,7.7
225-32-0908,South,Newtown,Not member,Female,Automotive,49.86,10,39.888,538.488,1/26/2023 0:00,19:54:00,Credit Card,448.6,4.761904716,39.888,8.2
225-98-1496,South,Newtown,Not member,Female,Clothing and Apparel,32.02,3,7.6848,103.7448,3/2/2023 0:00,13:01:00,Cash,81.06,4.761904716,7.6848,7.1
226-31-3081,South,Newtown,Not member,Female,Sports and Outdoors,20.28,5,8.112,109.512,3/8/2023 0:00,10:29:00,Mobile app,76.4,4.761904716,8.112,9.6
226-34-0034,East,McCordsville,Not member,Female,Sports and Outdoors,18.78,4,6.0096,81.1296,1/10/2023 0:00,11:10:00,Credit Card,55.12,4.761904716,6.0096,9
226-71-3580,South,Newtown,Not member,Female,Automotive,28.75,9,20.7,279.45,1/31/2023 0:00,12:02:00,Mobile app,213.75,4.761904716,20.7,9.5
227-03-5010,West,Yorktown,Member,Female,Groceries,57.59,8,36.8576,497.5776,3/22/2023 0:00,19:20:00,Cash,420.72,4.761904716,36.8576,8.5
227-07-4446,South,Newtown,Member,Female,Sports and Outdoors,83.13,10,66.504,897.804,2/10/2023 0:00,20:51:00,Credit Card,781.3,4.761904716,66.504,4.4
227-50-3718,West,Yorktown,Not member,Male,Health and Wellness,19.62,5,7.848,105.948,3/4/2023 0:00,12:23:00,Mobile app,73.1,4.761904716,7.848,4.4
227-78-1148,East,McCordsville,Not member,Female,Clothing and Apparel,77.84,7,43.5904,588.4704,2/15/2023 0:00,12:44:00,Mobile app,509.88,4.761904716,43.5904,8.4
228-96-1411,South,Newtown,Member,Female,Electronics,103.7,8,66.368,895.968,3/4/2023 0:00,20:39:00,Credit Card,789.6,4.761904716,66.368,7.6
232-11-3025,West,Yorktown,Not member,Male,Automotive,83.77,10,67.016,904.716,1/24/2023 0:00,10:04:00,Credit Card,787.7,4.761904716,67.016,6.4
232-16-2483,South,Newtown,Member,Female,Automotive,73.12,1,5.8496,78.9696,1/7/2023 0:00,12:28:00,Credit Card,68.12,4.761904716,5.8496,6.8
233-34-0817,South,Newtown,Member,Female,Sports and Outdoors,103.84,1,8.3072,112.1472,2/15/2023 0:00,11:21:00,Mobile app,98.84,4.761904716,8.3072,8.4
233-67-5758,South,Newtown,Not member,Male,Health and Wellness,45.35,1,3.628,48.978,1/29/2023 0:00,13:46:00,Credit Card,40.35,4.761904716,3.628,6.2
234-03-4040,East,McCordsville,Member,Female,Electronics,78.05,10,62.44,842.94,3/3/2023 0:00,12:25:00,Credit Card,730.5,4.761904716,62.44,8.7
234-36-2483,East,McCordsville,Not member,Male,Health and Wellness,62.59,6,30.0432,405.5832,2/15/2023 0:00,13:51:00,Mobile app,345.54,4.761904716,30.0432,5.1
234-65-2137,South,Newtown,Not member,Male,Groceries,100.58,10,80.464,1086.264,1/16/2023 0:00,13:32:00,Credit Card,955.8,4.761904716,80.464,4.8
235-06-8510,South,Newtown,Member,Male,Groceries,90.72,3,21.7728,293.9328,1/24/2023 0:00,20:59:00,Credit Card,257.16,4.761904716,21.7728,5.1
235-46-8343,South,Newtown,Member,Male,Electronics,32.66,10,26.128,352.728,2/14/2023 0:00,11:26:00,Cash,276.6,4.761904716,26.128,8.9
236-27-1144,South,Newtown,Not member,Female,Electronics,21.31,9,15.3432,207.1332,3/26/2023 0:00,10:31:00,Credit Card,146.79,4.761904716,15.3432,8.4
236-86-3015,South,Newtown,Member,Male,Groceries,18.98,1,1.5184,20.4984,2/4/2023 0:00,13:38:00,Credit Card,13.98,4.761904716,1.5184,9.8
237-01-6122,South,Newtown,Member,Female,Groceries,85.79,9,61.7688,833.8788,2/1/2023 0:00,20:31:00,Credit Card,727.11,4.761904716,61.7688,9.5
237-44-6163,West,Yorktown,Not member,Male,Sports and Outdoors,15.56,8,9.9584,134.4384,1/24/2023 0:00,17:43:00,Mobile app,84.48,4.761904716,9.9584,7.6
